(0,19900) 16634 11791 17011 11067 6661 20546 11056 3331 9145 3876 18194 10519 21624 1502 4733 22666 21546 4720 18320 7291 12252 4414 21807 88 21076 21010 17410 14043 17639 24278 23759 15767 23901 3224 930 15108 2618 4994 17911 8913 19325 4012 7639 21594 20259 11448 22308 19873 7105 1562 24401 23264 12759 16604 8502 23339 12703 21719 10281 6693 11698 17258 7973 1904 2179 16064 8105 13914 19274 7042 12572 19445 13828 6874 1531 8902 20794 8602 13678 2461 4274 23589 3960 22071 19926 4256 15240 14565 20263 21433 22319 21536 14864 1879 8331 17513 3444 13734 12438 19008
(1,6210) 21781 16019 9758 10174 3776 19973 23387 18882 18292 4415 19642 23868 12887 20323 23136 21893 20340 22671 18343 3497 4121 23974 3576 11090 22762 15882 20347 4653 23606 19758 23459 3933 5151 15633 13859 17040 6009 5352 10964 1144 17022 13502 15107 23980 14624 4967 23242 12502 16699 24643 19018 15630 13378 13481 7772 4498 277 394 16498 17684 3097 7738 11965 21824 4649 21725 18486 17604 7915 4152 23162 9598 23201 13393 23076 4731 8221 21952 6137 14236 20454 21949 17882 11867 6767 17641 67 8176 14379 18904 722 6333 5293 24377 10786 16031 2752 3503 9253 6629
(2,6428) 13267 14560 7709 7227 23508 11414 9998 20754 15600 11574 11582 21296 1719 9258 9052 4862 1297 2334 21062 10099 22937 5398 18028 21807 10628 15479 1331 4583 7466 8791 21151 10100 17197 21409 18778 910 380 17030 20939 5404 24292 20654 23902 4912 15624 1449 16918 24043 14492 3850 7562 14255 5917 24908 11787 21809 6912 12557 4118 7381 12937 20954 7391 8875 428 8049 23092 10528 19320 18279 11465 17052 3191 3564 7025 13215 13285 17111 3650 17001 13406 9722 8157 22326 6534 1808 21955 15825 1254 12029 16570 17983 4500 13514 2159 7263 10303 16442 17703 20770
(3,3720) 7011 12873 3642 6632 11195 7553 6714 1377 13731 12089 766 613 19775 6556 10696 2515 21181 24440 75 7260 8914 10876 8911 24186 11108 13900 2748 2297 18076 350 24853 17037 6827 4074 6968 5612 16920 7039 21766 14511 11735 16633 20804 24881 15220 11410 25017 24140 16518 19571 6140 13875 24992 17773 4649 16669 20678 3298 984 8873 6817 24544 2772 12143 22376 13737 13550 23888 10996 19805 12556 7242 5767 20018 15647 19599 10106 11860 2360 5297 19409 12492 21505 22644 5107 15428 2369 11442 23812 24346 3767 13693 16657 18097 5333 7954 9155 19975 2141 2969
(4,13788) 8207 23187 13108 428 7604 12511 9854 3964 21085 7236 2039 5 10561 22739 13991 7749 10930 375 8011 1817 20023 22232 18 24841 11722 7740 17117 10264 522 3523 2550 951 1566 13480 11549 15802 5508 12898 12340 8251 1835 16256 19819 22836 24431 2145 17631 19170 12938 17104 23225 15048 571 15258 23841 9115 17786 16543 24893 22137 5402 9024 17731 18873 8616 24154 6132 20181 17661 3294 24612 21113 9188 9940 2312 22872 23081 24218 14639 2741 18973 19470 14224 9716 11836 18096 12488 22883 5295 17541 23278 17153 10590 11710 14287 13088 8150 15453 8184 7849
(5,3158) 4055 8891 18409 3317 19992 5436 12732 16922 5291 18534 1080 24378 3591 11747 11540 9582 8127 3386 19022 18 11450 13904 20603 15140 24251 8679 16179 9705 10185 7781 19139 4743 5084 24049 15450 18895 5399 3512 13696 19539 12293 84 22113 23196 3721 14797 16903 13644 2589 3843 5560 20807 15880 21244 16056 21827 11419 16159 24592 14590 8061 4533 6028 9386 1921 13585 8628 23709 8482 21664 678 3143 4441 9712 15569 10425 16400 16011 13846 11379 9797 7065 21548 6773 3659 16635 6945 13702 24215 2085 3427 22674 23 6946 12983 24245 12196 4334 130 13084
(6,4581) 24487 5386 15128 11072 2617 23370 14091 18022 20197 5685 23813 2560 20392 11333 14591 5521 3031 16672 462 15268 23558 6256 755 24905 9910 20946 9580 20634 5594 8226 17156 3588 15171 8532 6209 1759 6528 19871 15159 7796 11074 7523 7649 22966 17971 22670 6225 10434 3450 22632 17187 5385 19536 853 6177 3988 19382 21958 9763 23072 5129 24274 16031 23952 5848 12679 24491 5877 23063 14965 6542 13853 24092 23085 14914 12232 22484 13490 19591 9735 11741 22924 2880 8095 19942 11145 7556 21008 11440 20919 17414 13362 20611 17982 21490 6034 19886 5748 16668 3157
(7,5206) 18506 23569 8755 17684 4548 852 21355 16702 8543 19306 4033 4073 14672 13184 12143 22693 23320 18614 20831 16075 23351 1495 18378 8558 8103 22809 4064 7933 24031 6788 5280 5846 13061 646 13675 14362 20715 6573 17918 3959 6016 4145 18314 21670 78 22135 13569 17720 21419 24905 22867 21140 7159 5358 309 7944 14091 13002 10435 9817 7622 1432 5366 7032 923 7813 25034 10589 12496 19072 11584 1155 2394 6166 24180 11870 22369 21906 5361 2269 5327 13295 2211 11929 8391 11274 20281 9150 13939 18443 19022 21669 5805 20312 24038 15673 7915 13881 12576 5256
(8,14343) 12291 20720 5530 5012 20206 23894 23440 18771 23543 24457 15062 5358 8314 23775 16677 21062 11502 17710 2060 16084 2133 21533 18503 21054 3296 2743 9851 773 4973 1447 19636 7389 8296 23642 2749 22701 16456 9473 7848 10360 20177 7638 6258 5280 10742 9378 5196 7857 20693 22129 15114 24595 16363 170 22323 22023 20023 2849 2107 19721 993 20755 15744 14668 23246 24850 8186 15819 2447 16678 2702 23324 975 1032 22330 23817 13324 1190 13791 16538 3762 9200 18198 17484 1341 8310 6493 1111 19074 12224 10506 4984 3113 11686 20014 9897 23622 23499 3751 919
(9,2857) 11154 9175 23847 24054 4722 18318 17536 9810 17344 6008 9152 10487 20091 4155 16165 17974 17775 22715 18537 9078 3067 9861 23811 11287 16506 2099 15737 11532 13378 13037 20901 21793 20553 17841 8808 15390 16584 6344 22655 8447 24962 16005 15624 19752 19664 7026 2479 11006 13403 7182 19970 7746 3977 22694 16501 16260 13202 20101 5303 7186 4315 8898 11552 6123 23406 19362 19246 6092 12546 16413 12666 21895 21106 16236 1821 12289 24608 9760 3985 12577 2450 3795 16400 13784 23870 7034 9693 9660 13702 9025 8465 19327 16132 23617 16042 9406 17153 19336 18424 9804
